Date,"Close Price"
"2018-01-04 00:00:00",15134.65
"2018-01-04 00:01:00",15133.17
"2018-01-04 00:02:00",15136.06
"2018-01-04 00:03:00",15138.89
"2018-01-04 00:04:00",15147.91
"2018-01-04 00:05:00",15148.65
"2018-01-04 00:06:00",15155.32
"2018-01-04 00:07:00",15154.72
"2018-01-04 00:08:00",15135.78
"2018-01-04 00:09:00",15095.09
"2018-01-04 00:10:00",15079.95
"2018-01-04 00:11:00",15103.96
"2018-01-04 00:12:00",15108.17
"2018-01-04 00:13:00",15114.72
"2018-01-04 00:14:00",15113.8
"2018-01-04 00:15:00",15128.93
"2018-01-04 00:16:00",15130.57
"2018-01-04 00:17:00",15140.63
"2018-01-04 00:18:00",15126.32
"2018-01-04 00:19:00",15116.65
"2018-01-04 00:20:00",15089.77
"2018-01-04 00:21:00",15079.07
"2018-01-04 00:22:00",15091.27
"2018-01-04 00:23:00",15099.47
"2018-01-04 00:24:00",15094.86
"2018-01-04 00:25:00",15085.77
"2018-01-04 00:26:00",15081.83
"2018-01-04 00:27:00",15084.47
"2018-01-04 00:28:00",15076.86
"2018-01-04 00:29:00",15075.6
"2018-01-04 00:30:00",15075.79
"2018-01-04 00:31:00",15051.64
"2018-01-04 00:32:00",15042.36
"2018-01-04 00:33:00",15047.76
"2018-01-04 00:34:00",15043.53
"2018-01-04 00:35:00",15032.22
"2018-01-04 00:36:00",15028.82
"2018-01-04 00:37:00",15038.66
"2018-01-04 00:38:00",15042.99
"2018-01-04 00:39:00",15076.37
"2018-01-04 00:40:00",15094.03
"2018-01-04 00:41:00",15090.5
"2018-01-04 00:42:00",15090.68
"2018-01-04 00:43:00",15072.38
"2018-01-04 00:44:00",15092.53
"2018-01-04 00:45:00",15103.74
"2018-01-04 00:46:00",15104.48
"2018-01-04 00:47:00",15097.27
"2018-01-04 00:48:00",15088.7
"2018-01-04 00:49:00",15081.43
"2018-01-04 00:50:00",15082.8
"2018-01-04 00:51:00",15118.94
"2018-01-04 00:52:00",15113.07
"2018-01-04 00:53:00",15115.11
"2018-01-04 00:54:00",15111.35
"2018-01-04 00:55:00",15126.4
"2018-01-04 00:56:00",15136.25
"2018-01-04 00:57:00",15135.7
"2018-01-04 00:58:00",15138.72
"2018-01-04 00:59:00",15127.6
"2018-01-04 01:00:00",15099.43
"2018-01-04 01:01:00",15109.43
"2018-01-04 01:02:00",15119.41
"2018-01-04 01:03:00",15106.95
"2018-01-04 01:04:00",15092.28
"2018-01-04 01:05:00",15087.6
"2018-01-04 01:06:00",15098.14
"2018-01-04 01:07:00",15072.38
"2018-01-04 01:08:00",15029.47
"2018-01-04 01:09:00",15016.67
"2018-01-04 01:10:00",15018.13
"2018-01-04 01:11:00",15030.62
"2018-01-04 01:12:00",15036.7
"2018-01-04 01:13:00",15001.37
"2018-01-04 01:14:00",15002.22
"2018-01-04 01:15:00",15004.99
"2018-01-04 01:16:00",14997.08
"2018-01-04 01:17:00",15006.36
"2018-01-04 01:18:00",15022.83
"2018-01-04 01:19:00",15028.51
"2018-01-04 01:20:00",15041.71
"2018-01-04 01:21:00",15060.18
"2018-01-04 01:22:00",15076.51
"2018-01-04 01:23:00",15085.68
"2018-01-04 01:24:00",15101.46
"2018-01-04 01:25:00",15090.11
"2018-01-04 01:26:00",15048.09
"2018-01-04 01:27:00",15033.77
"2018-01-04 01:28:00",15060.26
"2018-01-04 01:29:00",15083.84
"2018-01-04 01:30:00",15092.76
"2018-01-04 01:31:00",15092.48
"2018-01-04 01:32:00",15108.77
"2018-01-04 01:33:00",15117.49
"2018-01-04 01:34:00",15123.04
"2018-01-04 01:35:00",15124.59
"2018-01-04 01:36:00",15125.43
"2018-01-04 01:37:00",15119.57
"2018-01-04 01:38:00",15130.61
"2018-01-04 01:39:00",15127.74
"2018-01-04 01:40:00",15128.13
"2018-01-04 01:41:00",15122.6
"2018-01-04 01:42:00",15125.28
"2018-01-04 01:43:00",15131.32
"2018-01-04 01:44:00",15139.03
"2018-01-04 01:45:00",15156.58
"2018-01-04 01:46:00",15190.95
"2018-01-04 01:47:00",15224.72
"2018-01-04 01:48:00",15250.38
"2018-01-04 01:49:00",15243.15
"2018-01-04 01:50:00",15249.57
"2018-01-04 01:51:00",15262.95
"2018-01-04 01:52:00",15291.12
"2018-01-04 01:53:00",15281.68
"2018-01-04 01:54:00",15299.72
"2018-01-04 01:55:00",15336.63
"2018-01-04 01:56:00",15343.35
"2018-01-04 01:57:00",15342.85
"2018-01-04 01:58:00",15346.68
"2018-01-04 01:59:00",15352.33
"2018-01-04 02:00:00",15353.51
"2018-01-04 02:01:00",15316.6
"2018-01-04 02:02:00",15328.29
"2018-01-04 02:03:00",15365.5
"2018-01-04 02:04:00",15379.91
"2018-01-04 02:05:00",15382.13
"2018-01-04 02:06:00",15394.99
"2018-01-04 02:07:00",15374.45
"2018-01-04 02:08:00",15359.59
"2018-01-04 02:09:00",15355.04
"2018-01-04 02:10:00",15364.81
"2018-01-04 02:11:00",15363.9
"2018-01-04 02:12:00",15347.76
"2018-01-04 02:13:00",15310.86
"2018-01-04 02:14:00",15317.82
"2018-01-04 02:15:00",15276.11
"2018-01-04 02:16:00",15279.54
"2018-01-04 02:17:00",15301.6
"2018-01-04 02:18:00",15317.02
"2018-01-04 02:19:00",15323.54
"2018-01-04 02:20:00",15327.37
"2018-01-04 02:21:00",15344.13
"2018-01-04 02:22:00",15329.75
"2018-01-04 02:23:00",15335.51
"2018-01-04 02:24:00",15338.48
"2018-01-04 02:25:00",15338.88
"2018-01-04 02:26:00",15348.38
"2018-01-04 02:27:00",15351.83
"2018-01-04 02:28:00",15352.26
"2018-01-04 02:29:00",15344.96
"2018-01-04 02:30:00",15350.98
"2018-01-04 02:31:00",15347.52
"2018-01-04 02:32:00",15336.21
"2018-01-04 02:33:00",15330.27
"2018-01-04 02:34:00",15331.73
"2018-01-04 02:35:00",15329.79
"2018-01-04 02:36:00",15321.83
"2018-01-04 02:37:00",15310.42
"2018-01-04 02:38:00",15307.23
"2018-01-04 02:39:00",15306.17
"2018-01-04 02:40:00",15314.15
"2018-01-04 02:41:00",15328.07
"2018-01-04 02:42:00",15328.81
"2018-01-04 02:43:00",15319.55
"2018-01-04 02:44:00",15306.08
"2018-01-04 02:45:00",15304.13
"2018-01-04 02:46:00",15284.83
"2018-01-04 02:47:00",15262.33
"2018-01-04 02:48:00",15245.32
"2018-01-04 02:49:00",15239.2
"2018-01-04 02:50:00",15217.68
"2018-01-04 02:51:00",15226.14
"2018-01-04 02:52:00",15236.98
"2018-01-04 02:53:00",15259.09
"2018-01-04 02:54:00",15272.35
"2018-01-04 02:55:00",15274.06
"2018-01-04 02:56:00",15274.3
"2018-01-04 02:57:00",15262.27
"2018-01-04 02:58:00",15254.44
"2018-01-04 02:59:00",15245.21
"2018-01-04 03:00:00",15252.73
"2018-01-04 03:01:00",15245.75
"2018-01-04 03:02:00",15250.25
"2018-01-04 03:03:00",15254.79
"2018-01-04 03:04:00",15246.54
"2018-01-04 03:05:00",15247.84
"2018-01-04 03:06:00",15245.39
"2018-01-04 03:07:00",15238.06
"2018-01-04 03:08:00",15228.91
"2018-01-04 03:09:00",15220.43
"2018-01-04 03:10:00",15219.24
"2018-01-04 03:11:00",15202.07
"2018-01-04 03:12:00",15206.3
